Id,Name,Address,WorkingHours,Phone,Fax,Coordinate,Distance,Facilities,Closed,IsGoogle,DirectionUrl,Icon,Message,Coordinates/0/Latitude,Coordinates/0/Longitude,LocationType
10610,Abela Supermarket,"Bin Butti Building, Ground Floor
<br/>Abela Supermarket, Al Khalidiyah",,,,"24.4755854,54.3465158",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change, Cash Deposit, Cheque Deposit",false,false,"https://maps.google.ae/maps?q=24.4755854,54.3465158&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Abela Supermarket</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=24.4755854,54.3465158&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",24.4755854,54.3465158,10
1466,Abu Dhabi Branch,"Al Danat Square Mall
<br/>Ground Floor (Beside Viva Supermarket)
<br/>Al Sa'adah, Zone 1, Abu Dhabi",,,,"24.428876,54.434134",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=24.428876,54.434134&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Abu Dhabi Branch</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=24.428876,54.434134&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",24.428876,54.434134,10
7339,Al Ain Branch,Al Mandhour St. opposite Al Ain Mall,,,,"24.222492862519868,55.779484089428465",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change, Cash Deposit, Cheque Deposit",false,false,"https://maps.google.ae/maps?q=24.222492862519868,55.779484089428465&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Al Ain Branch</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=24.222492862519868,55.779484089428465&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",24.222492862519868,55.779484089428465,10
10537,Al Ghail - Industrial Free Zone,"Zaika Restaurant
<br/>Al Ghail Industrial Free Zone
<br/>Ras al Khaimah",,,,"25.39297,55.99045",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Cash Deposit, Mini Statement & PIN Change, Cheque Deposit",false,false,"https://maps.google.ae/maps?q=25.39297,55.99045&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Al Ghail - Industrial Free Zone</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.39297,55.99045&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.39297,55.99045,10
1470,Al Quoz,"Shop #14, The Curve Bldg., 
<br/>Next to Audi Showroom, 
<br/>Sheikh Zayed Road,
<br/>Al Quoz",,,,"25.163057,55.235483",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.163057,55.235483&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Al Quoz</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.163057,55.235483&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.163057,55.235483,10
6390,Al Ras Branch,"Deira Waterfront Development Car Park Building #1
<br/>Al Dhagaya Street, 
<br/>Al Ras, Deira",,,,"25.273003,55.298469",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.273003,55.298469&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Al Ras Branch</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.273003,55.298469&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.273003,55.298469,10
1471,Almas Tower,"Almas Tower, 
<br/>Jumeirah Lakes Towers",,,,"25.0689,55.1412",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.0689,55.1412&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Almas Tower</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.0689,55.1412&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.0689,55.1412,10
1685,Amiri Court,"Al Sharqi Street, 
<br/>Amiri Court building, 
<br/>Ruler’s Court, 
<br/>Fujairah",,,,"25.124671,56.33343",,"Cash Withdrawal & Balance Inquiry, Cash Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.124671,56.33343&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Amiri Court</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.124671,56.33343&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.124671,56.33343,10
1668,Bur Dubai Branch,"Al Fujairah Building, 
<br/>Khalid Bin Al Waleed Street, 
<br/>Bur Dubai",,,,"25.256175,55.302944",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.256175,55.302944&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Bur Dubai Branch</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.256175,55.302944&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.256175,55.302944,10
1677,Dibba Branch,Sheikh Mohammed Bin Hamad Street,,,,"25.599024,56.274727",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.599024,56.274727&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Dibba Branch</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.599024,56.274727&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.599024,56.274727,10
1679,Dibba Municipality,Dibba Municipality,,,,"25.595918,56.271873",,"Cash Withdrawal & Balance Inquiry, Cash Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.595918,56.271873&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Dibba Municipality</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.595918,56.271873&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.595918,56.271873,10
6195,Easa Saleh Al Gurg Corporate Office,"13th Floor, ESAG Tower-1, Baniyas Road, Deira",,,,"25.259571,55.318788",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.259571,55.318788&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Easa Saleh Al Gurg Corporate Office</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.259571,55.318788&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.259571,55.318788,10
1684,Finance Department,"Al Sharqi Street, 
<br/>Finance Department, 
<br/>Amiri Court, 
<br/>Fujairah",,,,"25.123915,56.333906",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.123915,56.333906&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Finance Department</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.123915,56.333906&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.123915,56.333906,10
1678,Fujairah,Al Madina Supermarket,,,,"25.125078,56.354145",,"Cash Withdrawal & Balance Inquiry, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.125078,56.354145&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Fujairah</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.125078,56.354145&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.125078,56.354145,10
1674,Fujairah Airport,Fujairah Airport,,,,"25.112645,56.333693",,"Cash Withdrawal & Balance Inquiry, Cash Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.112645,56.333693&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Fujairah Airport</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.112645,56.333693&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.112645,56.333693,10
1672,Fujairah Branch,"Fujairah Head Office, 
<br/>Hamad Bin Abdulla Street",,,,"25.122556,56.32754",,"Cash Withdrawal & Balance Inquiry, Cash & Cheque Deposit, Utility & Credit Card Payment, Fund Transfer, Mini Statement & PIN Change",false,false,"https://maps.google.ae/maps?q=25.122556,56.32754&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU",/images/marker.png,"<h3>Fujairah Branch</h3><p><a target='_blank' href='https://maps.google.ae/maps?q=25.122556,56.32754&key=AIzaSyAr3buXswp9xD10CZsZsjWh4vV9IdpMeCU'>Get Directions</a></p>",25.122556,56.32754,10
