data/name,data/address1,data/address2,data/address3,data/country,data/lat,data/lng,data/phoneNumber,data/faxNumber,data/information,data/type,data/externalLocationId,data/locationId
Karoon Phones And Electronics L.L.C,Karoon Phones  And  Electronics L.L.C,,,,25.22764667,55.27432333,,,,Reseller,10140,10140
Khaled Jamshidi Phone,Khaled Jamshidi Phone,,,,25.22994167,55.27477833,,,,Reseller,10141,10141
Lakes Mart Jlt,Lakes Mart Jlt,,,,24.4785994,54.357827,,,,Reseller,10142,10142
Leather Point Trading,Leather Point Trading,,,,25.1736541,55.3871075,,,,Reseller,10144,10144
Luxury Market Trading,Luxury Market Trading,,,,25.228955,55.27607833,,,,Reseller,10145,10145
Maafi Super Market,Maafi Super Market,,,,25.26368167,55.413785,,,,Reseller,10146,10146
Madinat Al Quasis Supermarket L.L.C,Madinat Al Quasis Supermarket L.L.C,,,,25.259335,55.42233833,,,,Reseller,10147,10147
Manila Phonesl.L.C,Manila Phonesl.L.C,,,,25.26276667,55.321575,,,,Reseller,10148,10148
Mariam Fartmisse Electronics,Mariam Fartmisse Electronics,,,,25.1531545,55.2527428,,,,Reseller,10149,10149
Marzban Mobile Phones,Marzban Mobile Phones,,,,25.2749223,55.3073641,,,,Reseller,10150,10150
Masafi Star Electronics Trading,Masafi Star Electronics Trading,,,,25.356045,55.386675,,,,Reseller,10151,10151
Masco Super Market,Masco Super Market,,,,25.2722698,55.3181715,,,,Reseller,10152,10152
Minutes Shoe Repairing,Minutes Shoe Repairing,,,,25.01074167,55.15966667,,,,Reseller,10153,10153
Arzaq Al Sabah Mobile Phones Trading,Arzaq Al Sabah Mobile Phones Trading,,,,25.2588504,55.2994016,,,,Reseller,10155,10155
Misnad Trading,Misnad Trading,,,,25.2295,55.26218667,,,,Reseller,10156,10156
Mobile Care L.L.C,Mobile Care L.L.C,,,,25.27845,55.30885333,,,,Reseller,10157,10157
Mobile Link Telecom,Mobile Link Telecom,,,,25.22734667,55.27417333,,,,Reseller,10158,10158
Shaheen Al Madina Trading,Shaheen Al Madina Trading,,,,25.11606833,55.20633,,,,Reseller,10159,10159
Nad Rashed Computers Est.,Nad Rashed Computers Est.,,,,25.22684833,55.38589167,,,,Reseller,10160,10160
Najmat Al Laseely Electronics Trading,Najmat Al Laseely Electronics Trading,,,,24.95344167,55.498945,,,,Reseller,10161,10161
Nawaes Almadina Supermarket,Nawaes Almadina Supermarket,,,,25.29244,55.38030333,,,,Reseller,10162,10162
Nematolla Taj Gardon L.L.C,Nematolla Taj Gardon L.L.C,,,,25.22973167,55.27614333,,,,Reseller,10163,10163
New Al Marri Mobile Phones,New Al Marri Mobile Phones,,,,25.15967667,55.25023333,,,,Reseller,10164,10164
New Ashkanany Supermarket L.L.C,New Ashkanany Supermarket L.L.C,,,,25.27798167,55.371265,,,,Reseller,10166,10166
New Seven Days Supermarket L.L.C,New Seven Days Supermarket L.L.C,,,,25.23035,55.377105,,,,Reseller,10167,10167
Noorul Hilal Trading,Noorul Hilal Trading,,,,25.2724512,55.3113977,,,,Reseller,10168,10168
Oasis Way Phones Trading,Oasis Way Phones Trading,,,,25.22644333,55.38594,,,,Reseller,10169,10169
Ola Al Madina Supermarket,Ola Al Madina Supermarket,,,,25.13282333,55.25267167,,,,Reseller,10170,10170
Techorbit Retail Mizhar,Techorbit Retail Mizhar,,,,25.2497826,55.4520541,,,,Reseller,10171,10171
Phone Museum Branch,Phone Museum  Branch,,,,25.25849667,55.29560833,,,,Reseller,10172,10172
Popular Star Computer Trading L.L.C,Popular Star Computer Trading L.L.C,,,,25.24642333,55.30380333,,,,Reseller,10173,10173
Raheef Mobile Phones L.L.C Br,Raheef Mobile Phones L.L.C Br,,,,25.26171333,55.28884667,,,,Reseller,10174,10174
Reliable Electronics Trading,Reliable Electronics Trading,,,,25.19919333,55.26513167,,,,Reseller,10175,10175
Royal Madina Supermarket,Royal Madina Supermarket,,,,25.262445,55.32348,,,,Reseller,10178,10178
Royal Star Mobile Phones Trading,Royal Star Mobile Phones Trading,,,,25.00693667,55.10696167,,,,Reseller,10179,10179
Saba Super Market,Saba Super Market,,,,25.26115667,55.32536667,,,,Reseller,10180,10180
Safaa Al Madina Supermarket,Safaa Al Madina Supermarket,,,,25.25967,55.299485,,,,Reseller,10181,10181
Sanad Al Madina Supermarket,Sanad Al Madina Supermarket,,,,25.17317333,55.403835,,,,Reseller,10182,10182
Saqer Al Madina Supermarket L.L.C Br,Saqer Al Madina Supermarket L.L.C Br,,,,25.2725008,55.3029966,,,,Reseller,10183,10183
Save On Foods Supermarket,Save On Foods Supermarket,,,,25.25356833,55.33474333,,,,Reseller,10184,10184
Sea Land Grocery L.L.C,Sea Land Grocery L.L.C,,,,25.233625,55.278925,,,,Reseller,10185,10185
Sea Shel Star Electronics,Sea Shel Star Electronics,,,,25.25701333,55.29039,,,,Reseller,10186,10186
Sea Shell Electronics Br,Sea Shell Electronics Br,,,,25.24186167,55.30312333,,,,Reseller,10187,10187
Sea Shell Electronics Br L.L.C,Sea Shell Electronics Br L.L.C,,,,25.24569833,55.303265,,,,Reseller,10189,10189
Shabab Al Satwa Phones,Shabab Al Satwa Phones,,,,25.23164333,55.277315,,,,Reseller,10190,10190
Toufiq Studio L.L.C,Toufiq Studio L.L.C,,,,25.22869667,55.27435833,,,,Reseller,10191,10191
Shabib Mobile Phones,Shabib Mobile Phones,,,,25.26017333,55.29874333,,,,Reseller,10192,10192
Shaheenalkarama Trading,Shaheenalkarama Trading,,,,25.24449667,55.30460167,,,,Reseller,10193,10193
Shaklan 2 Supermarket L.L.C,Shaklan 2 Supermarket L.L.C,,,,25.2811865,55.3495714,,,,Reseller,10194,10194
Shaklan Supermarket,Shaklan Supermarket,,,,25.12671,55.246285,,,,Reseller,10195,10195
Shams Al Fajar Trading L.L.C,Shams Al Fajar Trading L.L.C,,,,25.26265667,55.28792667,,,,Reseller,10196,10196
Shams Al Qaria Electronics Trading,Shams Al Qaria Electronics Trading,,,,24.81871667,56.12688333,,,,Reseller,10197,10197
Sheeze Trading,Sheeze Trading,,,,25.22892,55.275875,,,,Reseller,10198,10198
Smart Line L.L.C Br,Smart Line L.L.C  Br,,,,25.25756667,55.29852,,,,Reseller,10200,10200
Smart Line L.L.C Br3,Smart Line L.L.C  Br3,,,,25.19964333,55.26355333,,,,Reseller,10201,10201
Sun Hatta Electronics,Sun Hatta Electronics,,,,24.81897167,56.12720833,,,,Reseller,10202,10202
Tagareed Electronics,Tagareed Electronics,,,,24.81908,56.12682667,,,,Reseller,10203,10203
Talk And Text Mobile Phones,Talk  And  Text Mobile Phones,,,,25.25707167,55.28946,,,,Reseller,10204,10204
Talk To Me Mobile L.L.C,Talk To Me Mobile L.L.C,,,,25.23700333,55.27736,,,,Reseller,10205,10205
Targettec Trading L.L.C,Targettec Trading L.L.C,,,,25.232985,55.27721333,,,,Reseller,10206,10206
Telmesan Electronics L.L.C,Telmesan Electronics L.L.C,,,,25.22977667,55.276005,,,,Reseller,10207,10207
Sunline General Trading L.L.C Br,Sunline General Trading L.L.C Br,,,,25.26382,55.29365667,,,,Reseller,10208,10208
Univercel Electronics Co L.L.C,Univercel Electronics Co L.L.C,,,,25.27524,55.30771833,,,,Reseller,10209,10209
Village Star Electronics,Village Star Electronics,,,,24.81880333,56.126965,,,,Reseller,10211,10211
Wahat Al Samaha Mobile Trading L.L.C,Wahat Al Samaha Mobile Trading L.L.C,,,,25.27838333,55.31142,,,,Reseller,10212,10212
Wasmi Al Jazeera Trading,Wasmi Al Jazeera Trading,,,,24.81935667,56.12701833,,,,Reseller,10213,10213
West Voice Trading L.L.C,West Voice  Trading L.L.C,,,,25.27424833,55.30210667,,,,Reseller,10214,10214
Zabeel Moon General Trading L.L.C,Zabeel Moon General Trading L.L.C,,,,25.2692868,55.3047062,,,,Reseller,10215,10215
Zero Phone Telecom,Zero Phone Telecom,,,,25.23402667,55.30839167,,,,Reseller,10216,10216
Al Fedeya Mobile Phones,Al Fedeya Mobile Phones,,,,25.79374667,55.948395,,,,Reseller,10217,10217
New Phones Land,New Phones Land,,,,25.06670333,55.13791333,,,,Reseller,10218,10218
New Era Supermarket L.L.C,New Era Supermarket L.L.C,,,,25.26931333,55.32346167,,,,Reseller,10219,10219
Beauty Land Gift Trading L.L.C,Beauty Land Gift Trading L.L.C,,,,25.2699033,55.3043317,,,,Reseller,10220,10220
Diya Al Bader Mobile Phone Trading,Diya Al Bader Mobile Phone Trading,,,,25.282245,55.33566833,,,,Reseller,10222,10222
Al Arshia Star Electronics L.L.C,Al Arshia Star Electronics L.L.C,,,,25.27254167,55.31528667,,,,Reseller,10223,10223
Al Mesbah Al Muneer Typing And Photocopying,Al Mesbah Al Muneer Typing And Photocopying,,,,25.2694521,55.3046024,,,,Reseller,10224,10224
Al Ayman Auto Spare Parts Trading L.L.C Br4,Al Ayman Auto Spare Parts Trading L.L.C  Br4,,,,25.10838667,55.14903833,,,,Reseller,10226,10226
Hour Choice,Hour Choice,,,,25.82176333,55.98547167,,,,Reseller,10227,10227
Gold Land,Gold Land,,,,24.47906333,54.36120833,,,,Reseller,10228,10228
Golden Land Electronics L.L.C,Golden Land Electronics L.L.C,,,,25.273005,55.29875333,,,,Reseller,10229,10229
City Light General Trading L.L.C,City Light General Trading L.L.C,,,,25.26994,55.30322167,,,,Reseller,10230,10230
Aisha Al Saqer General Trading L.L.C,Aisha Al Saqer General Trading L.L.C,,,,25.281225,55.34890667,,,,Reseller,10231,10231
Majid Al Noobe Electronics,Majid Al Noobe Electronics,,,,25.270585,55.299105,,,,Reseller,10233,10233
New Style Phones L.L.C,New Style Phones L.L.C,,,,25.27886333,55.31441833,,,,Reseller,10234,10234
Al Malmas Supermarket L.L.C,Al Malmas Supermarket L.L.C,,,,25.15279167,55.24265667,,,,Reseller,10235,10235
Abdullah Al Mazem Electronics L.L.C,Abdullah Al Mazem Electronics L.L.C,,,,25.27433167,55.31315,,,,Reseller,10236,10236
Anaco General Trading L.L.C,Anaco General Trading L.L.C,,,,25.2685091,55.305376,,,,Reseller,10237,10237
Wonder World Phones L.L.C,Wonder World Phones L.L.C,,,,25.27303667,55.30100333,,,,Reseller,10238,10238
Nika Star General Trading L.L.C,Nika Star General Trading L.L.C,,,,25.27223833,55.29758,,,,Reseller,10239,10239
Ostadi Supermarket L.L.C,Ostadi Supermarket L.L.C,,,,25.26107833,55.323845,,,,Reseller,10240,10240
Abdulla A Khaliq Trading L.L.C,Abdulla A Khaliq Trading L.L.C,,,,25.27683667,55.31308667,,,,Reseller,10241,10241
Basundhara Trading,Basundhara Trading,,,,25.27302667,55.31501167,,,,Reseller,10242,10242
Digital Moon Electronics L.L.C,Digital Moon Electronics L.L.C,,,,25.22826333,55.385495,,,,Reseller,10244,10244
Al Zahriah Mobile Phone Trading Br,Al Zahriah Mobile Phone Trading  Br,,,,25.26445167,55.425545,,,,Reseller,10245,10245
Sabeel Video,Sabeel Video,,,,25.41263833,55.99286333,,,,Reseller,10246,10246
Talal Ahmed Mohammad Electronics,Talal Ahmed Mohammad Electronics,,,,25.27619,55.30985833,,,,Reseller,10247,10247
Talal Ahmed Mohammad,Talal Ahmed Mohammad,,,,25.41298833,55.992915,,,,Reseller,10248,10248
Al Ghawainem Electronics,Al Ghawainem Electronics,,,,25.27879833,55.31348667,,,,Reseller,10249,10249
Asala Mobile Phones Trading,Asala Mobile Phones Trading,,,,25.28164833,55.31371833,,,,Reseller,10250,10250
Al Shaab Mobile Phoe Trading,Al Shaab Mobile Phoe Trading,,,,25.27788,55.33931667,,,,Reseller,10251,10251
Deira Flower Mobile Phones L.L.C,Deira Flower Mobile Phones L.L.C,,,,25.27549333,55.30669667,,,,Reseller,10252,10252
Techorbit Plus Counter- Al Quoz Mall,Techorbit Plus Counter- Al Quoz Mall,,,,25.123306,55.2235497,,,,Reseller,10253,10253
Green House International Trading L.L.C,Green House International Trading L.L.C,,,,25.25837833,55.32982167,,,,Reseller,10255,10255
Techorbit Retail Techorbit Xpress-1,Techorbit Retail Techorbit Xpress-1,,,,25.3498193,56.3499039,,,,Reseller,10256,10256
Sea Horse General Tradiing L.L.C,Sea Horse General Tradiing L.L.C,,,,25.27770333,55.31376333,,,,Reseller,10257,10257
Aser Al Jawal Mobile Phones,Aser Al Jawal Mobile Phones,,,,25.22703167,55.27387667,,,,Reseller,10258,10258
Marina Link Mobile Phones L.L.C,Marina Link Mobile Phones L.L.C,,,,25.17537667,55.38573667,,,,Reseller,10259,10259
Al Ain Way Trading L.L.C,Al Ain Way Trading L.L.C,,,,25.170275,55.32318333,,,,Reseller,10260,10260
Family Supermarket,Family Supermarket,,,,25.239305,55.30785667,,,,Reseller,10261,10261
Talal Supermarket L.L.C Br,Talal Supermarket L.L.C  Br,,,,25.27160333,55.37669167,,,,Reseller,10262,10262
Polar Star Electronics L.L.C,Polar Star Electronics L.L.C,,,,25.26124833,55.29044333,,,,Reseller,10263,10263
Green Land Dot Trading L.L.C,Green Land Dot Trading L.L.C,,,,25.2127381,55.2754818,,,,Reseller,10264,10264
Green Gate Electronics L.L.C,Green Gate Electronics L.L.C,,,,25.2567143,55.2979826,,,,Reseller,10266,10266
Pasons Al Madin Supermarket L.L.C,Pasons Al Madin Supermarket L.L.C,,,,25.24891,55.30540667,,,,Reseller,10267,10267
Malabar Paris Gallery,Malabar Paris Gallery,,,,25.2451428,55.3027865,,,,Reseller,10268,10268
Mas Telecom L.L.C,Mas Telecom L.L.C,,,,25.27868,55.31377333,,,,Reseller,10269,10269
Polar Light Electronics L.L.C,Polar Light Electronics L.L.C,,,,25.2545033,55.3054436,,,,Reseller,10270,10270
Rizal Trading L.L.C,Rizal Trading L.L.C,,,,25.23706,55.27941833,,,,Reseller,10271,10271
Arabian Supermarket L.L.C,Arabian Supermarket L.L.C,,,,25.15968167,55.409405,,,,Reseller,10272,10272
Flavors Supermarket And Department Store L.L.C,Flavors Supermarket And Department Store L.L.C,,,,25.0513332,55.1369766,,,,Reseller,10273,10273
Royal Parco Supermarket L.L.C,Royal Parco Supermarket L.L.C,,,,24.98895167,55.19722167,,,,Reseller,10274,10274
Phoenix China Cluster,Phoenix China Cluster,,,,25.81028667,55.96411333,,,,Reseller,10275,10275
Parco Supermarket L.L.C Br,Parco Supermarket L.L.C Br,,,,24.97669667,55.15736833,,,,Reseller,10277,10277
Mina Parco Supermarket L.L.C,Mina Parco Supermarket L.L.C,,,,25.00928167,55.10394167,,,,Reseller,10278,10278
Cell Worldtrading L.L.C,Cell Worldtrading L.L.C,,,,25.00876667,55.10993333,,,,Reseller,10279,10279
Haneefa Mobile L.L.C,Haneefa Mobile L.L.C,,,,25.00425,55.10853333,,,,Reseller,10280,10280
Salam Al Madina Supermarket L.L.C,Salam Al Madina Supermarket L.L.C,,,,25.00209667,55.10862333,,,,Reseller,10281,10281
Techorbit Retail Hilal Dip,Techorbit Retail Hilal Dip,,,,25.1399753,55.2545331,,,,Reseller,10282,10282
Gate Of Oasis Trading Br,Gate Of Oasis Trading Br,,,,25.15581833,55.24603,,,,Reseller,10283,10283
Ssr Electronics L.L.C,Ssr Electronics L.L.C,,,,25.2328263,55.2735458,,,,Reseller,10284,10284
Moosa Al Kaabi,Moosa Al Kaabi,,,,25.41119,55.99185667,,,,Reseller,10285,10285
Moosa Al Kaabi Mobile Phones L.L.C,Moosa Al Kaabi Mobile Phones L.L.C,,,,25.27825833,55.31060167,,,,Reseller,10286,10286
Wadi Al Baraka Supermarket,Wadi Al Baraka Supermarket,,,,25.08719333,55.28573,,,,Reseller,10289,10289
Smaa Al Marri Electronics Trading L.L.C,Smaa Al Marri Electronics Trading L.L.C,,,,25.00696,55.106895,,,,Reseller,10290,10290
Oasis Tunes Mobile Phones Trading,Oasis Tunes Mobile Phones Trading,,,,25.2287319,55.2756499,,,,Reseller,10291,10291
Zahrat Al Nadia Electronics,Zahrat Al Nadia Electronics,,,,24.96609667,55.49244,,,,Reseller,10292,10292
Skp General Trading L.L.C,Skp General Trading L.L.C,,,,25.27452,55.30619833,,,,Reseller,10293,10293
Saqer Al Madina Supermarket L.L.C,Saqer Al Madina Supermarket L.L.C,,,,25.27002833,55.30418333,,,,Reseller,10294,10294
Arafa Al Mutamiz Mobile Trading,Arafa Al Mutamiz Mobile Trading,,,,25.23282,55.28061667,,,,Reseller,10295,10295
London Phone L.L.C,London Phone L.L.C,,,,25.2554,55.39716,,,,Reseller,10296,10296
Happy Phones,Happy Phones,,,,25.28214833,55.35275667,,,,Reseller,10297,10297
Riz Global Electronicstrading L.L.C,Riz Global Electronicstrading L.L.C,,,,25.23692167,55.28236833,,,,Reseller,10298,10298
Pasons Supermarket And Store L.L.C,Pasons Supermarket And Store L.L.C,,,,25.25852167,55.32871333,,,,Reseller,10300,10300
Al Madina Al Jadeeda Mobile Trading,Al Madina Al Jadeeda Mobile Trading,,,,25.15604167,55.24864167,,,,Reseller,10301,10301
Talal Supermarket Br2,Talal Supermarket Br2,,,,25.27134667,55.37507167,,,,Reseller,10302,10302
Every Day Trading L.L.C Br,Every Day Trading L.L.C Br,,,,25.26228333,55.29732167,,,,Reseller,10303,10303
Al Maraija Gift Corner,Al Maraija Gift Corner,,,,25.27466,55.32777333,,,,Reseller,10304,10304
Al Shaki Gifts And Perfumes Trading,Al Shaki Gifts And Perfumes Trading,,,,25.27368667,55.38155333,,,,Reseller,10305,10305
Techorbit Retail Mango Counter,Techorbit Retail Mango Counter,,,,25.2755445,55.4257974,,,,Reseller,10306,10306
Al Tawasol Watch Repairing,Al Tawasol Watch Repairing,,,,25.23233833,55.276575,,,,Reseller,10307,10307
Al Dar Mobile Phones Trading L.L.C,Al Dar Mobile Phones Trading L.L.C,,,,25.17432667,55.250435,,,,Reseller,10308,10308
Techorbit Retail Al Qouz Mall-2,Techorbit Retail Al Qouz Mall-2,,,,25.12327833,55.22195667,,,,Reseller,10309,10309
Bright Moon Electronics And Mobile Phones Trading L.L.C,Bright Moon Electronics And Mobile Phones Trading L.L.C,,,,25.253395,55.30370167,,,,Reseller,10311,10311
Cash And Carry Grocery,Cash And Carry Grocery,,,,25.11560333,55.20229333,,,,Reseller,10312,10312
Techorbit Retail Sahath,Techorbit Retail Sahath,,,,25.12298,55.23599667,,,,Reseller,10313,10313
Techorbit Retail Jebel Ali Mall Counter,Techorbit Retail Jebel Ali Mall Counter,,,,25.0039457,55.1037818,,,,Reseller,10314,10314
Techorbit Retail Azhar,Techorbit Retail Azhar,,,,25.2651,55.42503667,,,,Reseller,10315,10315
Hayat Al Madina Supermarket L.L.C,Hayat Al Madina Supermarket L.L.C,,,,25.2743289,55.3735089,,,,Reseller,10316,10316
Marjan Store L.L.C,Marjan Store L.L.C,,,,25.26,55.28753333,,,,Reseller,10317,10317
Masco Supermarket L.L.C Br,Masco Supermarket L.L.C Br,,,,25.25800667,55.33507,,,,Reseller,10318,10318
Mobile Plaza Trading L.L.C,Mobile Plaza Trading L.L.C,,,,25.2628725,55.2912327,,,,Reseller,10319,10319
Nawaes Al Madeena Supermarket L.L.C Br,Nawaes Al Madeena Supermarket L.L.C  Br,,,,25.2967664,55.3832134,,,,Reseller,10320,10320
Techorbit Retail Techorbit Head Office,Techorbit Retail Techorbit Head Office,,,,24.94808333,55.08007667,,,,Reseller,10322,10322
Phone Musium,Phone Musium,,,,25.230315,55.276455,,,,Reseller,10323,10323
Saif Bukhatara Mobile Phones L.L.C,Saif Bukhatara Mobile Phones L.L.C,,,,25.26130667,55.416935,,,,Reseller,10324,10324
Satwa Gallery,Satwa Gallery,,,,25.22971,55.273405,,,,Reseller,10325,10325
Shabab Al Madina,Shabab Al Madina,,,,25.17877333,55.33268833,,,,Reseller,10326,10326
Techorbit Retail? Tech1 Sonapur,Techorbit Retail?  Tech1 Sonapur,,,,25.2651253,55.4234225,,,,Reseller,10327,10327
Techorbit Retail Al Qouz Mall-1,Techorbit Retail Al Qouz Mall-1,,,,25.12269833,55.223115,,,,Reseller,10328,10328
Tahiyati Mobile,Tahiyati Mobile,,,,25.275465,55.33210333,,,,Reseller,10329,10329
Tariq Makki Trading L.L.C,Tariq Makki Trading L.L.C,,,,25.17133333,55.253655,,,,Reseller,10330,10330
Tech Orbit Plus,Tech Orbit Plus,,,,25.15622,55.246945,,,,Reseller,10331,10331
Shrouq Al Fajr Mobile Phones Trading,Shrouq Al Fajr Mobile Phones Trading,,,,25.282621,55.3352863,,,,Reseller,10333,10333
Techorbit Retail Souq,Techorbit Retail Souq,,,,25.1598133,55.4154754,,,,Reseller,10334,10334
Zufanatrading Branch,Zufanatrading  Branch,,,,25.2451902,55.3027562,,,,Reseller,10335,10335
Fawasil Al Madina Mobile Phones Trading,Fawasil Al Madina Mobile Phones Trading,,,,25.09474167,55.2142,,,,Reseller,10336,10336
Qamar Al Madina Supermarket Minemar L.L.C,Qamar Al Madina Supermarket Minemar L.L.C,,,,25.12435333,55.23055,,,,Reseller,10337,10337
Al Madina Style Supermarket L L C,Al Madina Style Supermarket L L C,,,,25.26134833,55.42035833,,,,Reseller,10338,10338
Ashbit Supermarket L.L.C,Ashbit Supermarket L.L.C,,,,25.26635833,55.31975,,,,Reseller,10339,10339
Bee Line Telecom LLC,Bee Line Telecom LLC,,,,25.26906833,55.30582333,,,,Reseller,10340,10340
Oaman Zarif General Trading L L C,Oaman Zarif General Trading L L C,,,,25.22907167,55.27557833,,,,Reseller,10341,10341
Al Rehab Tower Phones Branch2,Al Rehab Tower Phones  Branch2,,,,25.27358,55.30374667,,,,Reseller,10342,10342
Hadeer Supermarket L.L.C,Hadeer Supermarket L.L.C,,,,25.28311667,55.33662833,,,,Reseller,10344,10344
Al Meena Mobile Phones,Al Meena Mobile Phones,,,,25.2592361,55.2969003,,,,Reseller,10345,10345
Zero Five Zero Telecom - Al Wahda Mall,Zero Five Zero Telecom - Al Wahda Mall,,,,24.475787,54.3766665,,,,Reseller,10346,10346
Zero Five Zero Telecom - Ibn Batuta Mall,Zero Five Zero Telecom - Ibn Batuta Mall,,,,24.475787,54.3766665,,,,Reseller,10347,10347
"Zero Five Zero Telecom - Safeer Mall, Shj","Zero Five Zero Telecom - Safeer Mall, Shj",,,,24.475787,54.3766665,,,Working Hours:<br/>Sunday to Wednesday: 10am - 6pm 8pm - 12am <br/>Thursday: 10am - 6pm 8pm - 12am <br/>Friday: 10am - 6pm 8pm - 12am<br/>Saturday: 10am - 6pm 8pm - 12am,Reseller,10348,10348
Zero Five Zero Telecom - Dcc,Zero Five Zero Telecom - Dcc,,,,24.475787,54.3766665,,,,Reseller,10349,10349
Zero Five Zero Telecom - Ajman Cc,Zero Five Zero Telecom - Ajman Cc,,,,24.475787,54.3766665,,,,Reseller,10350,10350
Zero Five Zero Telecom - Sahara Centre,Zero Five Zero Telecom - Sahara Centre,,,,24.475787,54.3766665,,,,Reseller,10351,10351
"Zero Five Zero Telecom - Safeer Mall, Ajman","Zero Five Zero Telecom - Safeer Mall, Ajman",,,,24.475787,54.3766665,,,,Reseller,10352,10352
Zero Five Zero Telecom - Arabian Ranches,Zero Five Zero Telecom - Arabian Ranches,,,,24.475787,54.3766665,,,,Reseller,10353,10353
Zero Five Zero Telecom - Al Warqa,Zero Five Zero Telecom - Al Warqa,,,,24.475787,54.3766665,,,,Reseller,10355,10355
Zero Five Zero Telecom - Umm Suquiem,Zero Five Zero Telecom - Umm Suquiem,,,,24.475787,54.3766665,,,,Reseller,10356,10356
Zero Five Zero Telecom - Etihad Mall,Zero Five Zero Telecom - Etihad Mall,,,,24.475787,54.3766665,,,,Reseller,10357,10357
Zero Five Zero Telecom - Al Ain Mall,Zero Five Zero Telecom - Al Ain Mall,,,,24.475787,54.3766665,,,,Reseller,10358,10358
Zero Five Zero Telecom - Aswaaqalbadaa,Zero Five Zero Telecom - Aswaaqalbadaa,,,,24.475787,54.3766665,,,,Reseller,10359,10359
"Zero Five Zero Telecom - Union Coop, Ajman","Zero Five Zero Telecom - Union Coop, Ajman",,,,24.475787,54.3766665,,,,Reseller,10360,10360
"Zero Five Zero Telecom - Safeer Mall, Rak","Zero Five Zero Telecom - Safeer Mall, Rak",,,,24.475787,54.3766665,,,,Reseller,10361,10361
Zero Five Zero Telecom - Bawadi Mall,Zero Five Zero Telecom - Bawadi Mall,,,,24.475787,54.3766665,,,,Reseller,10362,10362
Zero Five Zero Telecom - Union Coop - Hamriya,Zero Five Zero Telecom - Union Coop - Hamriya,,,,24.475787,54.3766665,,,,Reseller,10363,10363
Zero Five Zero Telecom - Mirdif City Centre,Zero Five Zero Telecom - Mirdif City Centre,,,,24.475787,54.3766665,,,,Reseller,10364,10364
Zero Five Zero Telecom - Mall Of Emirates,Zero Five Zero Telecom - Mall Of Emirates,,,,24.475787,54.3766665,,,,Reseller,10366,10366
Zero Five Zero Telecom - Al Mizhar,Zero Five Zero Telecom - Al Mizhar,,,,24.475787,54.3766665,,,,Reseller,10367,10367
Zero Five Zero Telecom - Sahar Centre,Zero Five Zero Telecom - Sahar Centre,,,,24.475787,54.3766665,,,,Reseller,10368,10368
"Zero Five Zero Telecom - City Centre, Fujairah","Zero Five Zero Telecom - City Centre, Fujairah",,,,24.475787,54.3766665,,,,Reseller,10369,10369
Samaa Al Marri Electronics Trading LLC Br,Samaa Al Marri Electronics Trading LLC Br,,,,25.0072,55.10571333,,,,Reseller,10370,10370
Al Marri Mobile Phones LLC,Al Marri Mobile Phones LLC,,,,25.35603333,55.38697667,,,,Reseller,10371,10371
Muna Al Farsi Phones Trading LLC,Muna Al Farsi Phones Trading LLC,,,,25.23908167,55.275885,,,,Reseller,10372,10372
Blue Dolphin Mobile Phone Trading,Blue Dolphin Mobile Phone Trading,,,,25.27873167,55.30916,,,,Reseller,10373,10373
Phones Kemp Trading LLC,Phones Kemp Trading LLC,,,,25.2755084,55.311016,,,,Reseller,10374,10374
Afnan Al Madina Electronics Trading LLC Br,Afnan Al Madina Electronics Trading LLC  Br,,,,25.27699333,55.33193,,,,Reseller,10375,10375
Bercuda Mobile Phones,Bercuda Mobile Phones,,,,25.26991667,55.31628333,,,,Reseller,10377,10377
Ali Al Saffar Phones,Ali Al Saffar Phones,,,,25.22716333,55.27395833,,,,Reseller,10378,10378
Golden Parco Supermarket LLC,Golden Parco Supermarket LLC,,,,24.97480667,55.16776167,,,,Reseller,10379,10379
786 Mobile Phones Trading LLC,786 Mobile Phones Trading LLC,,,,25.43137167,55.526155,,,,Reseller,10380,10380
Khamis Rashed Jumaie Mob Pho Tra.,Khamis Rashed Jumaie Mob Pho Tra.,,,,24.93620667,55.47698833,,,,Reseller,10381,10381
Express Al Madina Supermarket L.L.C,Express Al Madina Supermarket L.L.C,,,,25.2720801,55.3179412,,,,Reseller,10382,10382
Taj Al Madina Supermarket L.L.C,Taj Al Madina Supermarket L.L.C,,,,25.1530636,55.2445895,,,,Reseller,10383,10383
Taj Al Madina Supermarket L.L.C Branch,Taj Al Madina Supermarket L.L.C  Branch,,,,25.15776333,55.25094667,,,,Reseller,10384,10384
Mashoor Al Madeena Supermarket L.L.C,Mashoor Al Madeena Supermarket L.L.C,,,,24.9856908,55.1924992,,,,Reseller,10385,10385
Hadeqat Al Madina Hyper Market L.L.C,Hadeqat Al Madina Hyper Market L.L.C,,,,24.98069667,55.15646167,,,,Reseller,10386,10386
Mosbah Al Shaab Electronics And Phones Trading,Mosbah Al Shaab Electronics And Phones Trading,,,,24.81916833,56.12612,,,,Reseller,10388,10388
New Al Shams Supermarket L.L.C,New Al Shams Supermarket L.L.C,,,,25.275715,55.37778167,,,,Reseller,10389,10389
Talal Supermarket Br,Talal Supermarket  Br,,,,25.27667,55.33760167,,,,Reseller,10390,10390
Arafa Al Madina Supermarket L.L.C,Arafa Al Madina Supermarket L.L.C,,,,25.26276167,55.290635,,,,Reseller,10391,10391
